trial,alpha,V,delta_V,lambda,theta,dataset_id,alpha1,alpha2,V1,V2,delta_V1,delta_V2,alpha1_init,alpha2_init,phase
6,0.8901812888719945,0.5431755200807546,0.08463514004773819,1.0,0.2,Basic_2,,,,,,,,,
7,1.0,0.6245068409453132,0.08133132086455848,1.0,0.2,Basic_2,,,,,,,,,
8,1.0,0.6996054727562505,0.07509863181093737,1.0,0.2,Basic_2,,,,,,,,,
9,1.0,0.7596843782050005,0.0600789054487499,1.0,0.2,Basic_2,,,,,,,,,
10,1.0,0.8077475025640004,0.04806312435899991,1.0,0.2,Basic_2,,,,,,,,,
11,1.0,0.8461980020512003,0.03845049948719992,1.0,0.2,Basic_2,,,,,,,,,
12,1.0,0.8769584016409603,0.030760399589759936,1.0,0.2,Basic_2,,,,,,,,,
13,1.0,0.9015667213127683,0.024608319671807946,1.0,0.2,Basic_2,,,,,,,,,
14,1.0,0.9212533770502146,0.019686655737446348,1.0,0.2,Basic_2,,,,,,,,,
15,1.0,0.9370027016401716,0.015749324589957082,1.0,0.2,Basic_2,,,,,,,,,
16,1.0,0.9496021613121373,0.012599459671965674,1.0,0.2,Basic_2,,,,,,,,,
17,1.0,0.9596817290497098,0.01007956773757255,1.0,0.2,Basic_2,,,,,,,,,
18,1.0,0.9677453832397679,0.008063654190058034,1.0,0.2,Basic_2,,,,,,,,,
19,1.0,0.9741963065918143,0.006450923352046423,1.0,0.2,Basic_2,,,,,,,,,
20,1.0,0.9793570452734515,0.005160738681637134,1.0,0.2,Basic_2,,,,,,,,,
21,1.0,0.9834856362187612,0.004128590945309707,1.0,0.2,Basic_2,,,,,,,,,
22,1.0,0.9867885089750089,0.003302872756247766,1.0,0.2,Basic_2,,,,,,,,,
23,1.0,0.9894308071800071,0.002642298204998217,1.0,0.2,Basic_2,,,,,,,,,
24,1.0,0.9915446457440057,0.0021138385639985825,1.0,0.2,Basic_2,,,,,,,,,
25,1.0,0.9932357165952046,0.0016910708511988616,1.0,0.2,Basic_2,,,,,,,,,
1,0.545,0.15,0.15,1.0,0.3,Basic_3,,,,,,,,,
2,0.6316925,0.288975,0.13897500000000002,1.0,0.3,Basic_3,,,,,,,,,
3,0.758808424383125,0.42371974794375,0.13474474794375,1.0,0.3,Basic_3,,,,,,,,,
4,0.9252801166721822,0.554905640963524,0.13118589301977396,1.0,0.3,Basic_3,,,,,,,,,
5,1.0,0.6784567291013442,0.1235510881378202,1.0,0.3,Basic_3,,,,,,,,,
6,1.0,0.774919710370941,0.09646298126959672,1.0,0.3,Basic_3,,,,,,,,,
7,1.0,0.8424437972596587,0.06752408688871771,1.0,0.3,Basic_3,,,,,,,,,
8,1.0,0.8897106580817611,0.047266860822102394,1.0,0.3,Basic_3,,,,,,,,,
9,1.0,0.9227974606572328,0.033086802575471676,1.0,0.3,Basic_3,,,,,,,,,
10,1.0,0.9459582224600629,0.023160761802830165,1.0,0.3,Basic_3,,,,,,,,,
11,1.0,0.962170755722044,0.016212533261981132,1.0,0.3,Basic_3,,,,,,,,,
12,1.0,0.9735195290054308,0.011348773283386793,1.0,0.3,Basic_3,,,,,,,,,
13,1.0,0.9814636703038015,0.007944141298370755,1.0,0.3,Basic_3,,,,,,,,,
14,1.0,0.9870245692126611,0.005560898908859535,1.0,0.3,Basic_3,,,,,,,,,
15,1.0,0.9909171984488628,0.003892629236201661,1.0,0.3,Basic_3,,,,,,,,,
16,1.0,0.993642038914204,0.0027248404653411494,1.0,0.3,Basic_3,,,,,,,,,
17,1.0,0.9955494272399428,0.0019073883257388013,1.0,0.3,Basic_3,,,,,,,,,
18,1.0,0.9968845990679599,0.0013351718280171676,1.0,0.3,Basic_3,,,,,,,,,
19,1.0,0.9978192193475719,0.0009346202796120306,1.0,0.3,Basic_3,,,,,,,,,
20,1.0,0.9984734535433003,0.0006542341957284315,1.0,0.3,Basic_3,,,,,,,,,
21,1.0,0.9989314174803102,0.00045796393700990866,1.0,0.3,Basic_3,,,,,,,,,
22,1.0,0.9992519922362172,0.0003205747559069327,1.0,0.3,Basic_3,,,,,,,,,
23,1.0,0.999476394565352,0.00022440232913484293,1.0,0.3,Basic_3,,,,,,,,,
24,1.0,0.9996334761957464,0.0001570816303944067,1.0,0.3,Basic_3,,,,,,,,,
25,1.0,0.9997434333370224,0.00010995714127608468,1.0,0.3,Basic_3,,,,,,,,,
1,0.58,0.2,0.2,1.0,0.4,Basic_4,,,,,,,,,
2,0.73424,0.3856,0.1856,1.0,0.4,Basic_4,,,,,,,,,
3,0.96065872896,0.5660468224,0.1804468224,1.0,0.4,Basic_4,,,,,,,,,
4,1.0,0.7327991856085477,0.16675236320854767,1.0,0.4,Basic_4,,,,,,,,,
5,1.0,0.8396795113651286,0.10688032575658091,1.0,0.4,Basic_4,,,,,,,,,
6,1.0,0.9038077068190772,0.06412819545394854,1.0,0.4,Basic_4,,,,,,,,,
7,1.0,0.9422846240914463,0.03847691727236913,1.0,0.4,Basic_4,,,,,,,,,
8,1.0,0.9653707744548677,0.023086150363421477,1.0,0.4,Basic_4,,,,,,,,,
9,1.0,0.9792224646729206,0.013851690218052904,1.0,0.4,Basic_4,,,,,,,,,
10,1.0,0.9875334788037524,0.008311014130831752,1.0,0.4,Basic_4,,,,,,,,,
11,1.0,0.9925200872822515,0.004986608478499033,1.0,0.4,Basic_4,,,,,,,,,
12,1.0,0.9955120523693509,0.002991965087099402,1.0,0.4,Basic_4,,,,,,,,,
13,1.0,0.9973072314216106,0.0017951790522596324,1.0,0.4,Basic_4,,,,,,,,,
14,1.0,0.9983843388529664,0.0010771074313557615,1.0,0.4,Basic_4,,,,,,,,,
15,1.0,0.9990306033117798,0.0006462644588134392,1.0,0.4,Basic_4,,,,,,,,,
16,1.0,0.9994183619870679,0.0003877586752880635,1.0,0.4,Basic_4,,,,,,,,,
17,1.0,0.9996510171922407,0.00023265520517283813,1.0,0.4,Basic_4,,,,,,,,,
18,1.0,0.9997906103153444,0.00013959312310372063,1.0,0.4,Basic_4,,,,,,,,,
19,1.0,0.9998743661892067,8.37558738622235e-05,1.0,0.4,Basic_4,,,,,,,,,
20,1.0,0.999924619713524,5.02535243173341e-05,1.0,0.4,Basic_4,,,,,,,,,
21,1.0,0.9999547718281144,3.015211459040934e-05,1.0,0.4,Basic_4,,,,,,,,,
22,1.0,0.9999728630968686,1.809126875422784e-05,1.0,0.4,Basic_4,,,,,,,,,
23,1.0,0.9999837178581211,1.0854761252554469e-05,1.0,0.4,Basic_4,,,,,,,,,
24,1.0,0.9999902307148727,6.512856751550445e-06,1.0,0.4,Basic_4,,,,,,,,,
25,1.0,0.9999941384289236,3.907714050921385e-06,1.0,0.4,Basic_4,,,,,,,,,
1,0.625,0.25,0.25,1.0,0.5,Basic_5,,,,,,,,,
2,0.8671875,0.484375,0.234375,1.0,0.5,Basic_5,,,,,,,,,
3,1.0,0.70794677734375,0.22357177734375,1.0,0.5,Basic_5,,,,,,,,,
4,1.0,0.853973388671875,0.146026611328125,1.0,0.5,Basic_5,,,,,,,,,
5,1.0,0.9269866943359375,0.0730133056640625,1.0,0.5,Basic_5,,,,,,,,,
6,1.0,0.9634933471679688,0.03650665283203125,1.0,0.5,Basic_5,,,,,,,,,
7,1.0,0.9817466735839844,0.018253326416015625,1.0,0.5,Basic_5,,,,,,,,,
8,1.0,0.9908733367919922,0.009126663208007812,1.0,0.5,Basic_5,,,,,,,,,
9,1.0,0.9954366683959961,0.004563331604003906,1.0,0.5,Basic_5,,,,,,,,,
10,1.0,0.997718334197998,0.002281665802001953,1.0,0.5,Basic_5,,,,,,,,,
11,1.0,0.998859167098999,0.0011408329010009766,1.0,0.5,Basic_5,,,,,,,,,
12,1.0,0.9994295835494995,0.0005704164505004883,1.0,0.5,Basic_5,,,,,,,,,
13,1.0,0.9997147917747498,0.00028520822525024414,1.0,0.5,Basic_5,,,,,,,,,
14,1.0,0.9998573958873749,0.00014260411262512207,1.0,0.5,Basic_5,,,,,,,,,
15,1.0,0.9999286979436874,7.130205631256104e-05,1.0,0.5,Basic_5,,,,,,,,,
16,1.0,0.9999643489718437,3.565102815628052e-05,1.0,0.5,Basic_5,,,,,,,,,
17,1.0,0.9999821744859219,1.782551407814026e-05,1.0,0.5,Basic_5,,,,,,,,,
18,1.0,0.9999910872429609,8.91275703907013e-06,1.0,0.5,Basic_5,,,,,,,,,
19,1.0,0.9999955436214805,4.456378519535065e-06,1.0,0.5,Basic_5,,,,,,,,,
20,1.0,0.9999977718107402,2.2281892597675323e-06,1.0,0.5,Basic_5,,,,,,,,,
21,1.0,0.9999988859053701,1.1140946298837662e-06,1.0,0.5,Basic_5,,,,,,,,,
22,1.0,0.9999994429526851,5.570473149418831e-07,1.0,0.5,Basic_5,,,,,,,,,
23,1.0,0.9999997214763425,2.7852365747094154e-07,1.0,0.5,Basic_5,,,,,,,,,
24,1.0,0.9999998607381713,1.3926182873547077e-07,1.0,0.5,Basic_5,,,,,,,,,
25,1.0,0.9999999303690856,6.963091436773539e-08,1.0,0.5,Basic_5,,,,,,,,,
1,,,,1.0,0.1,Overshadowing_1,0.705,0.195,0.06999999999999999,0.020000000000000004,0.06999999999999999,0.020000000000000004,0.7,0.2,
2,,,,1.0,0.1,Overshadowing_1,0.7146454999999999,0.1853545,0.135565,0.039110000000000006,0.065565,0.019110000000000002,0.7,0.2,
3,,,,1.0,0.1,Overshadowing_1,0.7286875929728749,0.171312407027125,0.19734145827924998,0.056920528550500005,0.061776458279250004,0.017810528550500002,0.7,0.2,
4,,,,1.0,0.1,Overshadowing_1,0.7469629470104872,0.1530370529895127,0.2558301903538111,0.07307664997768827,0.05848873207456112,0.016156121427188266,0.7,0.2,
5,,,,1.0,0.1,Overshadowing_1,0.7693784376106492,0.13062156238935071,0.31141691776276614,0.08726201176114638,0.055586727408955046,0.014185361783458117,0.7,0.2,
6,,,,1.0,0.1,Overshadowing_1,0.7958995053498205,0.10410049465017938,0.36439501536044694,0.09918433796873358,0.052978097597680816,0.011922326207587187,0.7,0.2,
7,,,,1.0,0.1,Overshadowing_1,0.826541596457656,0.07345840354234387,0.414982784647697,0.10856187356934194,0.050587769287250055,0.009377535600608364,0.7,0.2,
8,,,,1.0,0.1,Overshadowing_1,0.8613642619805728,0.03863573801942706,0.4633368909609475,0.11511023573177936,0.048354106313250496,0.006548362162437425,0.7,0.2,
9,,,,1.0,0.1,Overshadowing_1,0.9004676680409025,0.01,0.5095631332459098,0.11852907264261332,0.04622624228496232,0.003418836910833954,0.7,0.2,
10,,,,1.0,0.1,Overshadowing_1,0.9438991524257698,0.01,0.5537253874186441,0.1194105435699707,0.04416225417273424,0.0008814709273573866,0.7,0.2,
11,,,,1.0,0.1,Overshadowing_1,0.9914549601506409,0.01,0.5958492102751122,0.12029113302640074,0.04212382285646807,0.0008805894564300293,0.7,0.2,
12,,,,1.0,0.1,Overshadowing_1,1.0,0.01,0.6359189407872661,0.12117084189337433,0.04006973051215387,0.0008797088669735993,0.7,0.2,
13,,,,1.0,0.1,Overshadowing_1,1.0,0.01,0.6723270467085395,0.12204967105148096,0.036408105921273394,0.0008788291581066257,0.7,0.2,
14,,,,1.0,0.1,Overshadowing_1,1.0,0.01,0.7050943420376855,0.12292762138042948,0.03276729532914605,0.0008779503289485191,0.7,0.2,
15,,,,1.0,0.1,Overshadowing_1,1.0,0.01,0.734584907833917,0.12380469375904905,0.029490565796231452,0.0008770723786195706,0.7,0.2,
16,,,,1.0,0.1,Overshadowing_1,1.0,0.01,0.7611264170505252,0.12468088906529,0.026541509216608306,0.000876195306240951,0.7,0.2,
17,,,,1.0,0.1,Overshadowing_1,1.0,0.01,0.7850137753454727,0.1255562081762247,0.02388735829494748,0.00087531911093471,0.7,0.2,
18,,,,1.0,0.1,Overshadowing_1,1.0,0.01,0.8065123978109254,0.12643065196804848,0.021498622465452734,0.0008744437918237753,0.7,0.2,
19,,,,1.0,0.1,Overshadowing_1,1.0,0.01,0.8258611580298328,0.12730422131608043,0.019348760218907458,0.0008735693480319515,0.7,0.2,
20,,,,1.0,0.1,Overshadowing_1,1.0,0.01,0.8432750422268496,0.12817691709476436,0.017413884197016716,0.0008726957786839196,0.7,0.2,
21,,,,1.0,0.1,Overshadowing_1,1.0,0.01,0.8589475380041646,0.1290487401776696,0.015672495777315044,0.0008718230829052356,0.7,0.2,
22,,,,1.0,0.1,Overshadowing_1,1.0,0.01,0.8730527842037481,0.12991969143749194,0.014105246199583544,0.0008709512598223303,0.7,0.2,
23,,,,1.0,0.1,Overshadowing_1,1.0,0.01,0.8857475057833732,0.13078977174605444,0.01269472157962519,0.0008700803085625081,0.7,0.2,
24,,,,1.0,0.1,Overshadowing_1,1.0,0.01,0.8971727552050359,0.1316589819743084,0.011425249421662675,0.0008692102282539456,0.7,0.2,
25,,,,1.0,0.1,Overshadowing_1,1.0,0.01,0.9074554796845323,0.13252732299233408,0.010282724479496408,0.0008683410180256916,0.7,0.2,
26,,,,1.0,0.1,Overshadowing_1,1.0,0.01,0.9167099317160791,0.13339479566934173,0.009254452031546767,0.000867472677007666,0.7,0.2,
27,,,,1.0,0.1,Overshadowing_1,1.0,0.01,0.9250389385444712,0.1342614008736724,0.008329006828392094,0.0008666052043306583,0.7,0.2,
28,,,,1.0,0.1,Overshadowing_1,1.0,0.01,0.932535044690024,0.13512713947279872,0.007496106145552884,0.0008657385991263276,0.7,0.2,
29,,,,1.0,0.1,Overshadowing_1,1.0,0.01,0.9392815402210216,0.13599201233332592,0.006746495530997598,0.0008648728605272013,0.7,0.2,
30,,,,1.0,0.1,Overshadowing_1,1.0,0.01,0.9453533861989194,0.1368560203209926,0.006071845977897838,0.0008640079876666741,0.7,0.2,
1,,,,1.0,0.2,Overshadowing_2,0.8200000000000001,0.27999999999999997,0.16000000000000003,0.06,0.16000000000000003,0.06,0.8,0.3,
2,,,,1.0,0.2,Overshadowing_2,0.8570240000000001,0.24297599999999997,0.29776,0.11263999999999999,0.13776000000000002,0.05263999999999999,0.8,0.3,
3,,,,1.0,0.2,Overshadowing_2,0.9094971740160002,0.19050282598399995,0.41812730675200005,0.155761436672,0.12036730675200001,0.043121436672,0.8,0.3,
4,,,,1.0,0.2,Overshadowing_2,0.9767056175530994,0.12329438244690079,0.523969620781227,0.18792740309573122,0.10584231402922697,0.03216596642373123,0.8,0.3,
5,,,,1.0,0.2,Overshadowing_2,1.0,0.04149323666293982,0.6169579298830086,0.20795220096320377,0.09298830910178156,0.020024797867472563,0.8,0.3,
6,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.6935663439064068,0.21452512631796264,0.0766084140233983,0.006572925354758876,0.8,0.3,
7,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.7548530751251255,0.21609607606532671,0.06128673121871864,0.0015709497473640748,0.8,0.3,
8,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.8038824601001003,0.21766388391319605,0.049029384974974916,0.0015678078478693464,0.8,0.3,
9,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.8431059680800803,0.21922855614536965,0.039223507979979935,0.001564672232173608,0.8,0.3,
10,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.8744847744640643,0.22079009903307892,0.03137880638398394,0.0015615428877092609,0.8,0.3,
11,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.8995878195712514,0.22234851883501275,0.025103045107187152,0.0015584198019338422,0.8,0.3,
12,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.9196702556570011,0.22390382179734272,0.02008243608574971,0.0015553029623299745,0.8,0.3,
13,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.9357362045256009,0.22545601415374802,0.01606594886859978,0.0015521923564053147,0.8,0.3,
14,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.9485889636204807,0.22700510212544053,0.012852759094879818,0.001549087971692504,0.8,0.3,
15,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.9588711708963846,0.22855109192118966,0.010282207275903855,0.001545989795749119,0.8,0.3,
16,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.9670969367171077,0.2300939897373473,0.008225765820723074,0.0015428978161576205,0.8,0.3,
17,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.9736775493736862,0.2316338017578726,0.006580612656578455,0.0015398120205253054,0.8,0.3,
18,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.978942039498949,0.23317053415435685,0.005264490125262755,0.0015367323964842548,0.8,0.3,
19,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.9831536315991591,0.23470419308604812,0.004211592100210204,0.0015336589316912864,0.8,0.3,
20,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.9865229052793273,0.23623478469987602,0.0033692736801681725,0.0015305916138279039,0.8,0.3,
21,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.9892183242234618,0.23776231513047627,0.0026954189441345425,0.001527530430600248,0.8,0.3,
22,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.9913746593787695,0.2392867905002153,0.0021563351553076427,0.0015244753697390475,0.8,0.3,
23,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.9930997275030156,0.2408082169192149,0.0017250681242461097,0.0015214264189995694,0.8,0.3,
24,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.9944797820024125,0.24232660048537646,0.001380054499396888,0.0015183835661615702,0.8,0.3,
25,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.99558382560193,0.24384194728440572,0.0011040435995175013,0.0015153467990292472,0.8,0.3,
26,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.996467060481544,0.2453542633898369,0.0008832348796139922,0.0015123161054311884,0.8,0.3,
27,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.9971736483852351,0.24686355486305722,0.0007065879036912027,0.0015092914732203263,0.8,0.3,
28,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.9977389187081881,0.2483698277533311,0.000565270322952971,0.0015062728902738856,0.8,0.3,
29,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.9981911349665504,0.24987308809782444,0.00045221625836238126,0.001503260344493338,0.8,0.3,
30,,,,1.0,0.2,Overshadowing_2,1.0,0.01,0.9985529079732404,0.2513733419216288,0.0003617730066899139,0.0015002538238043513,0.8,0.3,
1,,,,1.0,0.3,Overshadowing_3,0.972,0.02800000000000001,0.27,0.03,0.27,0.03,0.9,0.1,
2,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.48286799999999996,0.038148,0.21286799999999997,0.008148000000000002,0.9,0.1,
3,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.6380076,0.041033556,0.15513960000000002,0.002885556,0.9,0.1,
4,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.74660532,0.043910455332,0.10859772,0.002876899332,0.9,0.1,
5,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.8226237240000001,0.046778723966004,0.076018404,0.002868268634004,0.9,0.1,
6,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.8758366068000001,0.04963838779410599,0.05321288279999998,0.002859663828101988,0.9,0.1,
7,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.9130856247600001,0.05248947263072367,0.03724901795999997,0.002851084836617682,0.9,0.1,
8,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.9391599373320001,0.0553320042128315,0.026074312571999967,0.002842531582107829,0.9,0.1,
9,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.9574119561324,0.058166008200193006,0.01825201880039997,0.002834003987361506,0.9,0.1,
10,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.97018836929268,0.06099151017559243,0.012776413160279986,0.002825501975399421,0.9,0.1,
11,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.979131858504876,0.06380853564506565,0.008943489212195987,0.002817025469473223,0.9,0.1,
12,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.9853923009534132,0.06661711003813045,0.006260442448537185,0.0028085743930648032,0.9,0.1,
13,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.9897746106673893,0.06941725870801606,0.004382309713976029,0.002800148669885609,0.9,0.1,
14,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.9928422274671724,0.07220900693189201,0.0030676167997832236,0.0027917482238759518,0.9,0.1,
15,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.9949895592270207,0.07499237991109634,0.00214733175984827,0.002783372979204324,0.9,0.1,
16,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.9964926914589145,0.07776740277136304,0.001503132231893789,0.002775022860266711,0.9,0.1,
17,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.9975448840212402,0.08053410056304895,0.001052192562325649,0.0027666977916859107,0.9,0.1,
18,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.9982814188148681,0.0832924982613598,0.0007365347936279409,0.0027583976983108533,0.9,0.1,
19,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.9987969931704077,0.08604262076657572,0.0005155743555395719,0.002750122505215921,0.9,0.1,
20,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.9991578952192854,0.088784492904276,0.0003609020488776871,0.002741872137700273,0.9,0.1,
21,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.9994105266534998,0.09151813942556317,0.0002526314342143676,0.002733646521287172,0.9,0.1,
22,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.9995873686574499,0.09424358500728648,0.00017684200395005068,0.0027254455817233105,0.9,0.1,
23,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.9997111580602149,0.09696085425226462,0.0001237894027650288,0.0027172692449781407,0.9,0.1,
24,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.9997978106421505,0.09966997168950784,8.665258193552017e-05,0.002709117437243206,0.9,0.1,
25,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.9998584674495054,0.10237096177443931,6.065680735486411e-05,0.0027009900849314762,0.9,0.1,
26,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.9999009272146537,0.10506384888911599,4.245976514839489e-05,0.0026928871146766824,0.9,0.1,
27,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.9999306490502576,0.10774865734244864,2.9721835603879752e-05,0.002684808453332652,0.9,0.1,
28,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.9999514543351804,0.11042541137042129,2.0805284922709166e-05,0.002676754027972654,0.9,0.1,
29,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.9999660180346263,0.11309413513631003,1.4563699445879763e-05,0.002668723765888736,0.9,0.1,
30,,,,1.0,0.3,Overshadowing_3,1.0,0.01,0.9999762126242384,0.1157548527309011,1.0194589612122495e-05,0.00266071759459107,0.9,0.1,
1,,,,1.0,0.4,Overshadowing_4,0.9460000000000001,0.15399999999999997,0.34,0.1,0.34,0.1,0.85,0.25,
2,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.589744,0.15544,0.24974400000000002,0.05543999999999999,0.85,0.25,
3,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.7538464,0.15881824,0.16410239999999998,0.00337824,0.85,0.25,
4,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.85230784,0.16218296704,0.09846144,0.00336472704,0.85,0.25,
5,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.911384704,0.16553423517184,0.059076863999999986,0.00335126813184,0.85,0.25,
6,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.9468308224,0.16887209823115262,0.03544611839999998,0.0033378630593126402,0.85,0.25,
7,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.96809849344,0.17219660983822802,0.02126767103999998,0.0033245116070753896,0.85,0.25,
8,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.980859096064,0.1755078233988751,0.012760602624000007,0.0033112135606470877,0.85,0.25,
9,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.9885154576384,0.1788057921052796,0.007656361574399995,0.003297968706404499,0.85,0.25,
10,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.99310927458304,0.1820905689368585,0.004593816944640006,0.003284776831578882,0.85,0.25,
11,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.995865564749824,0.18536220666111106,0.0027562901667840035,0.0032716377242525663,0.85,0.25,
12,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.9975193388498944,0.1886207578344666,0.0016537741000703932,0.0032585511733555558,0.85,0.25,
13,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.9985116033099366,0.19186627480312873,0.000992264460042236,0.0032455169686621335,0.85,0.25,
14,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.9991069619859619,0.19509880970391622,0.0005953586760253593,0.003232534900787485,0.85,0.25,
